procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 529280 151820  54460 1767816    3    0    12    44  404 1532  5  1 94  0  0
 1  0 529256 177276  54468 1743332    2    0    11    33  408 1541  4  1 94  0  0
 1  0 529112 189396  54476 1724936   11    0    11    25  444 1861  8  2 90  0  0
 0  0 529080 185956  54484 1725084   15    0    20     9  309 1352  6  1 93  0  0
 1  0 529012 184360  54492 1725020    9    0    14     7  261  851  3  1 97  0  0
 0  0 528992 187540  54500 1720776    6    0     6     3  256  904  2  1 97  0  0
 0  0 528952 174652  54508 1733152    6    0     6    14  238 1100  4  1 95  0  0
 1  0 528928 120656  54516 1787740    6    0  3633    40  338  931 11  1 87  0  0
 0  2 528904 125400  54532 1783240    2    0  7895  1498  451  551 18  1 77  5  0
 1  0 528784 129980  54540 1775292   12    0  5894  6193  549  493 13  1 57 29  0
 2  0 528772 114796  54556 1789172   14    0  6698  4726  587  763 17  1 56 26  0
 1  3 528736 141528  54560 1754880    5    0  6456  5558  834 2155 28  3 53 16  0
 1  0 528660 110620  54588 1795792   12    0  5738  5622  921 2955 31  3 48 18  0
 0  3 528632 126724  54600 1792268   13    0  7915  4055 1020 2608 31  3 55 12  0
 1  0 528620 115804  54612 1823096    4    0  5611  6121  946 2027 22  2 47 29  0
 0  2 528592 143500  54628 1791784    4    0  8034  3604  645 1441 20  2 56 22  0
 1  0 528576 115212  54636 1818704    5    0  6814  6215  643 1137 18  1 62 18  0
 2  0 529048 109352  54652 1823368    3   33  7214  4781  656  949 21  1 61 16  0
 0  4 530592 130412  54736 1801944    4  137  7378  4034  711 1260 24  2 59 14  0
 1  0 532148 122128  54916 1793128    5  211  3354  6209  867 1762 27  2 41 30  0
 2  0 532624 127292  55060 1785900    8  143  8126  2379 1001 2162 34  3 44 19  0
 1  0 532960 110716  55188 1801688   10   61 10230   343  869 2047 35  3 55  7  0
 2  0 532908 103340  55204 1810544   13   25 10650   209  789 1896 34  3 61  3  0
 2  0 533368 111660  55364 1754916   10   32  6997  1157 1013 2507 44  3 51  2  0
